圖,題目,題目 + 答案
images/cellImage_0_10.jpg,題目： 深夜的森林裡，三隻蝸牛留下了發光的痕跡後，再也沒有人見過牠們。,"題目：
深夜的森林裡，三隻蝸牛留下了發光的痕跡後，再也沒有人見過牠們。

答案：
這片森林長年被有毒的工業廢水污染，土壤中累積了大量的螢光化學物質。蝸牛在爬行時，身體吸收了土壤中的毒素，黏液開始發出詭異的綠光——這是中毒的反應。
三隻蝸牛留下發光的爬行痕跡後，毒素已滲入全身，牠們在某處靜靜死去，屍體被落葉與苔蘚覆蓋，因此再也沒有人見過牠們。
多年後，有人循著那些發光的痕跡找過去，卻只發現三個小小的空殼。"
images/cellImage_0_11.jpg,"題目：
一個女人在麵包店裡看著兩個孩子吃蛋糕，突然摀臉驚叫出聲。幾分鐘後，她平靜地離開了，什麼都沒說。","題目：
一個女人在麵包店裡看著兩個孩子吃蛋糕，突然摀臉驚叫出聲。幾分鐘後，她平靜地離開了，什麼都沒說。

答案：
那兩個孩子是她七年前因車禍去世的兒子們。
她每年都會在忌日這天，把兩份蛋糕放在這間她兒子們生前最愛的麵包店，默默悼念。
那天她轉身時，看見兩個陌生男孩坐在兒子們當年常坐的那張桌子，吃著一模一樣的巧克力蛋糕——大的穿灰色帽T，小的穿藍白條紋衣，和兒子們出事那天穿的衣服一樣。
她沒有報警，沒有上前詢問，因為她知道那張桌子今天沒有其他客人訂位。
她只是平靜地付了帳，走出門，再也沒有回來過這間店。"
images/cellImage_0_12.jpg,"題目：
一個男人搬進新家後，每天早上都會在床底下發現一團頭髮。他從不清理，直到第三十天，他微笑著離開了這間房子，再也沒有回來。","題目：
一個男人搬進新家後，每天早上都會在床底下發現一團頭髮。他從不清理，直到第三十天，他微笑著離開了這間房子，再也沒有回來。

答案：
男人搬進這間房子之前，這裡住過一個長髮女人，她在這張床上病死，死前因高燒與痛苦大量掉髮，頭髮散落在床底各處。
男人第一天發現頭髮時，以為是前任房客遺留的，沒有在意。
但從第二天開始，頭髮的量每天都在增加。
他裝了攝影機，卻發現每天凌晨三點，攝影機的畫面會固定中斷七分鐘。中斷結束後，床底的頭髮就又多了一些。
第三十天，他對著空蕩蕩的房間說了一句話，然後平靜離去。
鄰居後來作證，說那天深夜聽見他說：
「夠了，我知道你在這裡了。我找到你了。」
男人是一名失蹤人口調查員。那個女人，是他失蹤二十年的母親。"
images/cellImage_0_13.jpg,"題目：
一個女科學家讓小男孩看了培養皿裡的東西之後，小男孩回家問媽媽：「我是從哪裡來的？」媽媽沉默了很久，然後哭了。","題目：
一個女科學家讓小男孩看了培養皿裡的東西之後，小男孩回家問媽媽：「我是從哪裡來的？」媽媽沉默了很久，然後哭了。

答案：
那個女科學家是這間學校的生物老師，正在教小男孩觀察細胞切片。
培養皿裡放的，是一小片組織樣本。
那是那個男孩的組織。
男孩天生患有一種罕見的遺傳疾病，學校定期配合醫院追蹤他的細胞變化。那天老師讓他親眼看見顯微鏡下自己身體裡的細胞，試圖讓他以科學的方式理解自己的病。
男孩看著培養皿，懵懵懂懂地問：「這是什麼？」
老師說：「這是你。」
男孩回家後想了很久，問媽媽：「我是從哪裡來的？」
媽媽哭了——因為男孩是試管嬰兒，胚胎來自一個捐贈者，而那個捐贈者，患有同一種遺傳疾病，早在五年前就已經去世了。"
images/cellImage_0_14.jpg,"題目：
一個男人每天深夜都會把手伸進裝滿水的水槽裡，持續三十秒，然後安心去睡覺。有一天他出差回家，做完這件事後，再也沒有起床。","題目：
一個男人每天深夜都會把手伸進裝滿水的水槽裡，持續三十秒，然後安心去睡覺。有一天他出差回家，做完這件事後，再也沒有起床。

答案：
男人的妻子三年前溺死在這個水槽裡，死因不明，案子從未偵破。
男人從那之後患上了嚴重的睡眠障礙，每次睡前都會夢見妻子的臉從水裡浮起來。
某天他無意間發現，只要睡前把手伸進水槽裡浸泡三十秒，當晚就不會做噩夢。他不知道為什麼，但他每天照做，從未間斷。
出差那晚，他照例把手伸進水中。
水是冷的。
但有什麼東西，從水面以下，握住了他的手。
不是往上拉。
只是握著。
像是在說：我等你很久了。
鄰居兩天後報警，警方進入時發現男人倒在廚房地板，手仍泡在已經溢出的水槽裡，臉上帶著笑容。
法醫報告：心因性休克，死亡時間約凌晨三點。
水槽裡，沒有發現任何異物。"
images/cellImage_0_15.jpg,"題目：
艾瑞克到底在哪裡？
「我最偉大的無聲演奏」真正的含義是什麼？","題目：
世界知名的鋼琴家艾瑞克在音樂會開場前五分鐘，從他「上鎖的」休息室神秘失蹤。休息室門窗完好，現場留下一張只有標題的紙條：「我最偉大的無聲演奏」。

謎底：
艾瑞克其實還在休息室裡。他將自己「藏在了那台演奏鋼琴的巨大琴身內部」。他所謂的「無聲演奏」是指他自己成為了樂器本身，藉此躲避所有人，進行一場大膽的行為藝術。"
images/cellImage_0_16.jpg,"【文字劇情+圖片線索】
週一清晨七點，張女士在廚房裡一邊喝咖啡一邊讀早報。她翻到第三版的社會新聞區塊，靜靜讀了大約三十秒，突然噗哧一聲笑出來，越笑越大聲，最後笑到用餐巾紙擦眼淚。她先生在隔壁房間問「什麼這麼好笑」，她說「沒什麼，新聞而已」。然而當天下午兩點半，張女士穿著正式出門，徑直走進派出所，向員警表示要自首——她三個月前親手殺害了自己的丈夫，並如實交代屍體藏匿的地點。員警一頭霧水：她丈夫剛才還活著和她說話。究竟發生了什麼？","【湯底】
報紙上的新聞是「本市連環殺手落網，認罪包含七起未偵破命案」。張女士三個月前確實殺了人——但殺的不是現任丈夫，而是一名讓她痛苦多年的前男友。案件一直未偵破，她以為可以就此埋藏。但連環殺手落網後，警方將那起案件也歸在他名下「一併解決」，意味著她的罪行永遠被掩蓋了——然而這正是讓她崩潰的原因：她突然意識到她可以永遠不被發現，但她活不下去這個秘密，選擇自首。"
images/cellImage_0_17.jpg,"【純圖片】
那個人走路的方式是怎麼回事？他的另一隻腳去哪了？那隻涼鞋為什麼丟在那裡？","【湯底】
留下印跡的人是獨腿者，義肢不在沙地留下印跡。另一隻涼鞋踩到水母，反射性甩掉，進入小屋後自行包紮水母刺傷。"
images/cellImage_0_18.jpg,"【純圖片】
用完餐那一側的主人呢？另一側那個始終沒動筷的人去哪了？這裡究竟發生了什麼事？","【湯底】
貓跳上餐桌打翻魚缸，魚缸砸到坐著用餐的其中一人頭部致死。另一人驚恐逃走，餐盤未動。貓也被砸中，倒在地上。"
images/cellImage_0_19.jpg,"【純四格漫畫】
那個年輕人究竟是誰？為什麼老人只倒了一杯茶？","格1：雨夜，老人開門，門口站著一個全身濕透的年輕陌生人
格2：客廳內，老人倒熱茶，桌上只有一個茶杯，年輕人坐在對面
格3：老人翻開相冊，年輕人指著一張軍人照片，眼眶泛紅
格4：年輕人消失在雨中；老人在窗邊微笑；室內回拍可見對面那張椅子落滿灰塵，桌上只有一個杯子
【湯底】
老人多年前喪子（兒子是軍人，在照片中的那個人），長年獨居，慢慢產生幻覺，在腦中與兒子「對話」。年輕陌生人的出現讓他真實地招待了另一個人，但習慣的力量讓他只拿出一個杯子。格4 空椅上的灰塵說明那把椅子極少有人實際坐過。"
